epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.263,2.18375,4.72641,4.83659,1.93696,0.0124,0.32464,0.0199,0.00697,0.00719,0.25057,0.01422,0.00587,1.95701,4.08357,4.104,1.72701,2.307e-05,2.307e-05,2.307e-05
2,425.512,2.21327,4.11319,3.92862,1.87706,0.78617,0.09524,0.06216,0.02822,0.72661,0.02646,0.01041,0.00282,1.5755,3.07654,5.52011,1.37986,5.27642e-05,5.27642e-05,5.27642e-05
3,628.098,1.72009,3.28673,2.78265,1.5714,0.76959,0.05026,0.04942,0.02538,0.58565,0.01852,0.00548,0.00124,1.60696,2.90465,6.41308,1.44411,8.12402e-05,8.12402e-05,8.12402e-05
4,836.491,1.58024,3.0706,2.66859,1.48707,0.58452,0.26039,0.19793,0.09281,0.56023,0.06463,0.06125,0.02258,1.68268,3.16025,6.65258,1.55236,0.000108498,0.000108498,0.000108498
5,1058.03,1.53919,2.76696,2.24942,1.3686,0.82179,0.21428,0.24839,0.12207,0.5769,0.05669,0.0722,0.02696,1.62015,3.1963,4.77147,1.47426,0.000134538,0.000134538,0.000134538
6,1284.37,1.62173,2.79295,2.3386,1.32929,0.77587,0.23583,0.24293,0.14354,0.33962,0.10809,0.07609,0.02866,1.61135,3.33263,2.78898,1.42508,0.00015936,0.00015936,0.00015936
7,1498.23,1.64967,3.01454,2.30741,1.3739,0.68612,0.36387,0.35461,0.20683,0.5433,0.20862,0.14437,0.03988,1.53853,3.17627,2.91825,1.32889,0.000182964,0.000182964,0.000182964
8,1714.7,1.55081,2.80112,2.00162,1.37231,0.69049,0.31006,0.32925,0.19972,0.58841,0.17565,0.17964,0.06089,1.61165,2.97239,2.82133,1.42667,0.000205349,0.000205349,0.000205349
9,2017.6,1.60204,2.8442,2.0573,1.35317,0.69269,0.27863,0.27546,0.14473,0.57618,0.12872,0.15309,0.04881,1.68123,3.79797,2.94085,1.47083,0.000226517,0.000226517,0.000226517
10,2572.26,1.56069,2.6996,1.98409,1.35127,0.71114,0.24928,0.26283,0.16761,0.41219,0.23975,0.17188,0.06474,1.67868,3.26755,2.58053,1.4624,0.000246466,0.000246466,0.000246466
11,3103.42,1.55662,2.59975,1.95754,1.29599,0.65363,0.27195,0.34345,0.21686,0.87207,0.16138,0.26893,0.1047,1.62726,3.09234,2.88682,1.44729,0.000265197,0.000265197,0.000265197
12,3586.03,1.48234,2.47061,1.75816,1.27039,0.62883,0.2951,0.31309,0.17914,0.58874,0.21573,0.24167,0.06642,1.73614,3.20114,2.52306,1.49306,0.000282711,0.000282711,0.000282711
13,4129.1,1.50701,2.5387,1.75466,1.2832,0.81128,0.25329,0.31137,0.21569,0.81763,0.17763,0.24353,0.11627,1.54662,3.10376,3.72423,1.41596,0.000299006,0.000299006,0.000299006
14,4621.99,1.44122,2.44122,1.89985,1.31239,0.71361,0.27117,0.3066,0.20222,0.61386,0.21731,0.22257,0.12112,1.53942,3.27796,3.35869,1.4377,0.000314083,0.000314083,0.000314083
15,5178.94,1.57934,2.57207,1.70368,1.34385,0.66098,0.3148,0.29772,0.18386,0.7549,0.23318,0.23204,0.10452,1.68701,3.64355,3.63044,1.50397,0.000327942,0.000327942,0.000327942
16,5701.28,1.42597,2.50892,1.66592,1.24795,0.47806,0.31202,0.29367,0.20933,0.85794,0.14815,0.22974,0.10422,1.65788,3.51664,3.185,1.49181,0.000340582,0.000340582,0.000340582
17,6221.08,1.40822,2.32433,1.46189,1.2083,0.82728,0.25675,0.30735,0.20117,0.79304,0.20697,0.24026,0.0868,1.63544,3.57414,3.3872,1.57044,0.000352005,0.000352005,0.000352005
18,6753.34,1.58293,2.48394,1.68019,1.33558,0.65099,0.32902,0.33883,0.20151,0.52006,0.19146,0.1517,0.06284,1.70247,4.0794,2.46081,1.67977,0.00036221,0.00036221,0.00036221
19,7293.16,1.4391,2.23727,1.3506,1.27076,0.42386,0.33961,0.38174,0.21522,0.3773,0.18497,0.15893,0.07565,1.68659,3.8086,2.36259,1.48638,0.000371196,0.000371196,0.000371196
20,7834.2,1.42199,2.35726,1.4779,1.25156,0.35946,0.38684,0.37504,0.23017,0.37185,0.26042,0.27501,0.1029,1.6837,3.6445,2.24949,1.48594,0.000378965,0.000378965,0.000378965
21,8371.38,1.48854,2.47262,1.62221,1.30159,0.30391,0.38789,0.36757,0.21701,0.18657,0.36032,0.28235,0.14451,1.67008,3.16343,2.58016,1.4687,0.000385515,0.000385515,0.000385515
22,8980.01,1.41637,2.32026,1.37163,1.27187,0.48679,0.24964,0.31155,0.21916,0.31094,0.38447,0.35061,0.14631,1.64174,3.06042,2.69332,1.4093,0.000390847,0.000390847,0.000390847
23,9544.34,1.38514,2.2968,1.48239,1.24011,0.86102,0.23364,0.36453,0.20861,0.80731,0.21295,0.25505,0.13858,1.61316,3.01536,2.34042,1.36931,0.000394961,0.000394961,0.000394961
24,10112.6,1.34732,2.10427,1.51619,1.14091,0.88101,0.26682,0.37235,0.20656,0.82875,0.24301,0.25253,0.13389,1.62562,3.05648,2.12577,1.37882,0.000397858,0.000397858,0.000397858
25,10670.8,1.40158,2.26862,1.43681,1.27039,0.88604,0.27475,0.37406,0.19721,0.82696,0.24302,0.32553,0.15504,1.66494,3.22343,2.49226,1.44268,0.000399535,0.000399535,0.000399535
26,11288,1.28607,2.20165,1.52027,1.20515,0.69042,0.32184,0.35253,0.22427,0.8036,0.24786,0.26026,0.15707,1.71988,3.38278,2.34819,1.46798,0.000388345,0.000388345,0.000388345
27,11925.2,1.3132,2.13363,1.35316,1.20637,0.72712,0.29522,0.35067,0.23064,0.66688,0.23299,0.25832,0.14349,1.78561,3.39345,1.94177,1.48194,0.000373119,0.000373119,0.000373119
28,12566.9,1.44904,2.2203,1.56982,1.22045,0.53554,0.34248,0.34232,0.21835,0.48223,0.23243,0.25691,0.12611,1.73772,3.45858,1.89928,1.45726,0.000357893,0.000357893,0.000357893
29,13262.3,1.48989,2.28249,1.67888,1.24971,0.59747,0.36038,0.35602,0.23157,0.5315,0.24301,0.2826,0.12061,1.64487,3.30131,1.99733,1.39616,0.000342666,0.000342666,0.000342666
30,13953.6,1.38056,2.16549,1.3611,1.1733,0.60857,0.34065,0.33772,0.23851,0.55126,0.2543,0.28449,0.14561,1.56301,3.20121,2.62088,1.35902,0.00032744,0.00032744,0.00032744
31,14639.7,1.29451,2.06455,1.35701,1.19424,0.60134,0.36981,0.35121,0.24337,0.54238,0.25515,0.30476,0.16867,1.53502,3.08695,2.73143,1.36581,0.000312214,0.000312214,0.000312214
32,15279.8,1.28227,2.07082,1.22725,1.16372,0.58017,0.3323,0.32597,0.24289,0.85437,0.23985,0.29516,0.15235,1.56194,3.06841,2.39449,1.41197,0.000296988,0.000296988,0.000296988
33,15980.8,1.32367,2.15937,1.29929,1.16972,0.6286,0.35812,0.34598,0.24046,0.7123,0.25421,0.30217,0.1493,1.5977,3.15126,1.98104,1.46223,0.000281762,0.000281762,0.000281762
34,16665.1,1.27939,2.0675,1.23826,1.1269,0.80432,0.3504,0.34571,0.23813,0.7213,0.25166,0.26292,0.1357,1.5856,3.23237,1.82798,1.46217,0.000266535,0.000266535,0.000266535
35,17406.3,1.28197,2.10661,1.34541,1.14737,0.80798,0.35208,0.33608,0.23131,0.71461,0.25997,0.26614,0.13045,1.57379,3.21536,1.84485,1.47452,0.000251309,0.000251309,0.000251309
36,18052.1,1.23982,1.88076,1.11723,1.11545,0.59075,0.41627,0.39144,0.23871,0.7052,0.26606,0.31906,0.15958,1.56725,3.26336,1.86137,1.47344,0.000236083,0.000236083,0.000236083
37,18739.9,1.31904,1.96893,1.20384,1.13526,0.59831,0.41633,0.41148,0.25017,0.86292,0.2381,0.30648,0.15596,1.55562,3.32005,1.90516,1.44366,0.000220857,0.000220857,0.000220857
38,19400.7,1.31124,1.92839,1.18592,1.20019,0.61798,0.41897,0.40654,0.24676,0.86603,0.23084,0.30351,0.15605,1.57376,3.28349,1.90902,1.44297,0.000205631,0.000205631,0.000205631
39,19947.2,1.19717,2.03048,1.03291,1.11087,0.63832,0.41368,0.39612,0.22819,0.59335,0.34278,0.35983,0.1625,1.58432,3.28234,1.98394,1.42771,0.000190404,0.000190404,0.000190404
40,20611.5,1.24796,1.89445,0.99362,1.1257,0.68279,0.40719,0.38616,0.23218,0.6233,0.33364,0.33795,0.16065,1.62409,3.28825,2.09536,1.45696,0.000175178,0.000175178,0.000175178
41,21237.9,1.17817,1.91875,1.12349,1.13871,0.71084,0.39043,0.38102,0.23761,0.69243,0.24959,0.27615,0.13244,1.66793,3.35342,2.17602,1.48411,0.000159952,0.000159952,0.000159952
42,21927.3,1.23987,1.78464,1.15733,1.14415,0.73943,0.37792,0.38807,0.22861,0.55141,0.25054,0.28383,0.12727,1.69289,3.35921,2.18827,1.49163,0.000144726,0.000144726,0.000144726
43,22604,1.18366,1.7023,1.05534,1.08231,0.7566,0.37764,0.38809,0.22844,0.54739,0.25217,0.28072,0.1226,1.67819,3.34282,2.13667,1.47569,0.0001295,0.0001295,0.0001295
44,23247.2,1.21566,1.73957,1.06205,1.14843,0.75729,0.37965,0.38595,0.22482,0.56103,0.25928,0.28294,0.12582,1.67336,3.24126,1.99771,1.47698,0.000114273,0.000114273,0.000114273
45,23867.2,1.19994,1.69696,1.04029,1.13233,0.74422,0.39562,0.3904,0.22492,0.55786,0.27349,0.28676,0.13178,1.67329,3.17569,1.8931,1.48113,9.90472e-05,9.90472e-05,9.90472e-05
46,24418,1.19408,1.6694,1.03664,1.09581,0.70051,0.40336,0.41761,0.23259,0.55808,0.27402,0.31102,0.14361,1.66889,3.11094,1.84425,1.46667,8.3821e-05,8.3821e-05,8.3821e-05
47,25076.5,1.08967,1.58171,1.04159,1.08578,0.71335,0.40808,0.43586,0.23283,0.67934,0.34521,0.3909,0.16138,1.63985,3.07959,1.81102,1.45438,6.85948e-05,6.85948e-05,6.85948e-05
48,25670.8,1.14995,1.63159,1.02036,1.09685,0.71532,0.38043,0.48732,0.25806,0.67409,0.34075,0.43077,0.17894,1.60937,3.0635,1.76917,1.45001,5.33686e-05,5.33686e-05,5.33686e-05
49,26328,1.12329,1.72666,1.04096,1.12446,0.71816,0.38009,0.48491,0.25759,0.67739,0.34041,0.42295,0.17364,1.5948,3.05948,1.76881,1.44388,3.81424e-05,3.81424e-05,3.81424e-05
50,26957.2,1.12181,1.67975,0.96039,1.09833,0.72194,0.37997,0.48767,0.25657,0.68387,0.34293,0.42382,0.1748,1.57862,3.06292,1.76382,1.43146,2.29162e-05,2.29162e-05,2.29162e-05
